,date,btc_average
477,2019-10-09,8392.5
478,2019-10-08,8206.875
479,2019-10-07,8030.96
480,2019-10-06,7969.4349999999995
481,2019-10-05,8098.195
482,2019-10-04,8118.705
483,2019-10-03,8226.5
484,2019-10-02,8262.565
485,2019-10-01,8336.525
486,2019-09-30,8023.63
487,2019-09-29,8059.565
488,2019-09-28,8158.045
489,2019-09-27,8058.575
490,2019-09-26,8107.995
491,2019-09-25,8472.82
492,2019-09-24,8797.494999999999
493,2019-09-23,9832.880000000001
494,2019-09-22,9971.485
495,2019-09-21,10038.35
496,2019-09-20,10171.195
497,2019-09-19,9989.0
498,2019-09-18,10179.01
499,2019-09-17,10201.505000000001
500,2019-09-16,10216.5
501,2019-09-15,10306.075
502,2019-09-14,10321.16
503,2019-09-13,10296.0
504,2019-09-12,10244.404999999999
505,2019-09-11,10086.5
506,2019-09-10,10168.994999999999
507,2019-09-09,10274.25
508,2019-09-08,10400.25
509,2019-09-07,10423.285
510,2019-09-06,10527.935000000001
511,2019-09-05,10675.0
512,2019-09-04,10584.445
513,2019-09-03,10522.5
514,2019-09-02,10081.25
515,2019-09-01,9675.0
516,2019-08-31,9552.630000000001
517,2019-08-30,9523.205
518,2019-08-29,9522.0
519,2019-08-28,9950.005000000001
520,2019-08-27,10221.08
521,2019-08-26,10370.965
522,2019-08-25,10119.985
523,2019-08-24,10154.71
524,2019-08-23,10232.395
525,2019-08-22,10002.0
526,2019-08-21,10331.064999999999
527,2019-08-20,10754.98
528,2019-08-19,10594.3
529,2019-08-18,10290.0
530,2019-08-17,10232.57
531,2019-08-16,10143.015
532,2019-08-15,10185.5
533,2019-08-14,10412.79
534,2019-08-13,11122.305
535,2019-08-12,11406.605
536,2019-08-11,11356.055
537,2019-08-10,11627.5
538,2019-08-09,11872.84
539,2019-08-08,11790.5
540,2019-08-07,11762.005000000001
541,2019-08-06,11778.7
542,2019-08-05,11432.66
543,2019-08-04,10796.0
544,2019-08-03,10701.35
545,2019-08-02,10475.675
546,2019-08-01,10165.66
547,2019-07-31,9832.4
548,2019-07-30,9558.14
549,2019-07-29,9562.0
550,2019-07-28,9379.994999999999
551,2019-07-27,9760.83
552,2019-07-26,9763.49
553,2019-07-25,9947.515
554,2019-07-24,9731.0
555,2019-07-23,10082.985
556,2019-07-22,10391.58
557,2019-07-21,10552.95
558,2019-07-20,10709.494999999999
559,2019-07-19,10445.775
560,2019-07-18,10020.0
561,2019-07-17,9508.5
562,2019-07-16,10189.005000000001
563,2019-07-15,10480.0
564,2019-07-14,10777.5
565,2019-07-13,11314.99
566,2019-07-12,11479.0
567,2019-07-11,11555.865
568,2019-07-10,12358.04
569,2019-07-09,12431.365
570,2019-07-08,11779.015
571,2019-07-07,11316.185000000001
572,2019-07-06,11314.755000000001
573,2019-07-05,11101.635
574,2019-07-04,11527.5
575,2019-07-03,11416.465
576,2019-07-02,10332.875
577,2019-07-01,10656.14
578,2019-06-30,11473.015
579,2019-06-29,11958.28
580,2019-06-28,11731.439999999999
581,2019-06-27,12001.57
582,2019-06-26,12855.5
583,2019-06-25,11438.0
584,2019-06-24,10882.215
585,2019-06-23,10973.91
586,2019-06-22,10540.86
587,2019-06-21,9846.525
588,2019-06-20,9382.6
589,2019-06-19,9132.0
590,2019-06-18,9143.18
591,2019-06-17,9197.0
592,2019-06-16,9046.5
593,2019-06-15,8716.31
594,2019-06-14,8414.365
595,2019-06-13,8159.924999999999
596,2019-06-12,7994.495
597,2019-06-11,7851.115
598,2019-06-10,7765.5
599,2019-06-09,7720.83
600,2019-06-08,7897.825
601,2019-06-07,7918.745
602,2019-06-06,7656.355
603,2019-06-05,7734.74
604,2019-06-04,7798.34
605,2019-06-03,8440.875
606,2019-06-02,8669.39
607,2019-06-01,8534.18
608,2019-05-31,8351.25
609,2019-05-30,8539.630000000001
610,2019-05-29,8578.3
611,2019-05-28,8654.56
612,2019-05-27,8748.66
613,2019-05-26,8286.71
614,2019-05-25,8000.07
615,2019-05-24,7948.0
616,2019-05-23,7700.99
617,2019-05-22,7740.5
618,2019-05-21,7906.66
619,2019-05-20,7854.514999999999
620,2019-05-19,7759.085
621,2019-05-18,7307.305
622,2019-05-17,7419.0
623,2019-05-16,8012.5
624,2019-05-15,8049.5
625,2019-05-14,7982.780000000001
626,2019-05-13,7485.0
627,2019-05-12,7135.889999999999
628,2019-05-11,6858.42
629,2019-05-10,6320.46
630,2019-05-09,6104.13
631,2019-05-08,5893.46
632,2019-05-07,5888.075
633,2019-05-06,5712.07
634,2019-05-05,5767.95
635,2019-05-04,5743.725
636,2019-05-03,5660.785
637,2019-05-02,5454.0
638,2019-05-01,5359.1
639,2019-04-30,5266.065
640,2019-04-29,5255.4
641,2019-04-28,5299.74
642,2019-04-27,5300.085
643,2019-04-26,5335.8099999999995
644,2019-04-25,5296.92
645,2019-04-24,5457.775
646,2019-04-23,5466.205
647,2019-04-22,5304.175
648,2019-04-21,5239.675
649,2019-04-20,5281.76
650,2019-04-19,5247.5
651,2019-04-18,5242.9
652,2019-04-17,5188.6
653,2019-04-16,5100.83
654,2019-04-15,5058.6900000000005
655,2019-04-14,5076.495
656,2019-04-13,5051.5
657,2019-04-12,4970.9
658,2019-04-11,5129.835
659,2019-04-10,5278.5
660,2019-04-09,5157.54
661,2019-04-08,5172.0
662,2019-04-07,5130.0
663,2019-04-06,5066.795
664,2019-04-05,4954.42
665,2019-04-04,4908.04
666,2019-04-03,5014.255
667,2019-04-02,4519.264999999999
668,2019-04-01,4112.85
669,2019-03-31,4099.345
670,2019-03-30,4096.0
671,2019-03-29,4073.87
672,2019-03-28,4020.85
673,2019-03-27,3992.075
674,2019-03-26,3926.49
675,2019-03-25,3944.005
676,2019-03-24,3978.01
677,2019-03-23,3998.42
678,2019-03-22,3988.125
679,2019-03-21,3974.665
680,2019-03-20,4015.25
681,2019-03-19,4000.5
682,2019-03-18,3995.165
683,2019-03-17,3981.005
684,2019-03-16,3989.48
685,2019-03-15,3905.71
686,2019-03-14,3865.215
687,2019-03-13,3866.7799999999997
688,2019-03-12,3865.63
689,2019-03-11,3883.49
690,2019-03-10,3912.56
691,2019-03-09,3913.25
692,2019-03-08,3866.0
693,2019-03-07,3872.9
694,2019-03-06,3860.045
